person;behavior;
"Adalberto";"Clumsy";
"Adalberto";"Aggressive";
"Adalberto";"Bright";
"Adalberto";"Friendly";
"Adalberto";"Confident";
"Adalberto";"Considerate";
"Adalberto";"Realistic";
"Adalberto";"Bossy";
"Adalberto";"Silly";
"Adalberto";"Pleasant";
"Adalberto";"Opinionated";
"Adalberto";"Stubborn";
"Adalberto";"Neat";
"Adalberto";"Willing";
"Adalberto";"Athletic";
"Adalberto";"Patient";
"Adalberto";"Conceited";
"Adolfo";"Energetic";
"Adolfo";"Accepting";
"Adolfo";"Pleasant";
"Adolfo";"Creative";
"Adolfo";"Witty";
"Adolfo";"Athletic";
"Adolfo";"Likeable";
"Adolfo";"Vain";
"Adolfo";"Personable";
"Adolfo";"Expert";
"Adolfo";"Willing";
"Adolfo";"Keen";
"Adolfo";"Loving";
"Adolfo";"Relaxed";
"Adolfo";"Humble";
"Adolph";"Friendly";
"Adolph";"Defiant";
"Adolph";"Vain";
"Adolph";"Short";
"Adolph";"Bright";
"Adolph";"Bold";
"Adolph";"Sarcastic";
"Adolph";"Smart";
"Adolph";"Reliable";
"Adolph";"Cheerful";
"Adolph";"Disagreeable";
"Adolph";"Opinionated";
"Adolph";"Warm";
"Adolph";"Arrogant";
"Adolph";"Hard-working";
"Adolph";"Messy";
"Adolph";"Gracious";
"Adrian";"Friendly";
"Adrian";"Organized";
"Adrian";"Proper";
"Adrian";"Passive";
"Adrian";"Neat";
"Adrian";"Messy";
"Adrian";"Light";
"Adrian";"Devout";
"Adrian";"Tantalizing";
"Adrian";"Trusting";
"Ahmad";"Bold";
"Ahmad";"Fair";
"Ahmad";"Curious";
"Ahmad";"Athletic";
"Ahmad";"Efficient";
"Ahmad";"Disagreeable";
"Ahmad";"Melancholy";
"Ahmad";"Pretty";
"Ahmad";"Daring";
"Ahmad";"Hopeful";
"Ahmad";"Helpful";
"Ahmed";"Pleasing";
"Ahmed";"Accepting";
"Ahmed";"Reflective";
"Ahmed";"Cautious";
"Ahmed";"Mischievous";
"Ahmed";"Bright";
"Ahmed";"Pleasant";
"Ahmed";"Light";
"Ahmed";"Forgiving";
"Ahmed";"Faithful";
"Ahmed";"Materialistic";
"Ahmed";"Tense";
"Ahmed";"Prim";
"Ahmed";"Outgoing";
"Ahmed";"Respectful";
"Ahmed";"Awkward";
"Al";"Popular";
"Al";"Cooperative";
"Al";"Tolerant";
"Al";"Defiant";
"Al";"Devout";
"Al";"Reflective";
"Al";"Selfish";
"Al";"Intelligent";
"Al";"Tireless";
"Al";"Embarrassed";
"Al";"Sarcastic";
"Al";"Honest";
"Al";"Keen";
"Al";"Questioning";
"Al";"Thoughtful";
"Al";"Realistic";
"Al";"Unique";
"Al";"Excited";
"Al";"Tender";
"Alan";"Ambitious";
"Alan";"Relaxed";
"Alan";"Noisy";
"Alan";"Excited";
"Alan";"Compassionate";
"Alan";"Serious";
"Alan";"Nervous";
"Alan";"Independent";
"Alan";"Wise";
"Alan";"Busy";
"Alan";"Accepting";
"Alan";"Aggressive";
"Alan";"Unhappy";
"Albert";"Reliable";
"Albert";"Obnoxious";
"Albert";"Lively";
"Albert";"Careful";
"Albert";"Successful";
"Albert";"Curious";
"Albert";"Loving";
"Albert";"Athletic";
"Albert";"Poor";
"Albert";"Neat";
"Albert";"Noisy";
"Albert";"Serious";
"Albert";"Aggressive";
"Albert";"Stubborn";
"Albert";"Dark";
"Albert";"Opinionated";
"Albert";"Considerate";
"Alberto";"Leader";
"Alberto";"Friendly";
"Alberto";"Handsome";
"Alberto";"Efficient";
"Alberto";"Pitiful";
"Alberto";"Tall";
"Alberto";"Energetic";
"Alberto";"Eager";
"Alberto";"Giving";
"Alberto";"Able";
"Alberto";"Inventive";
"Alberto";"Obnoxious";
"Alberto";"Simple-minded";
"Alberto";"Awkward";
"Alberto";"Shy";
"Alberto";"Tense";
"Alberto";"Tricky";
"Alejandro";"Stubborn";
"Alejandro";"Independent";
"Alejandro";"Religious";
"Alejandro";"Pleasing";
"Alejandro";"Self-conscious";
"Alejandro";"Daring";
"Alejandro";"Perfectionist";
"Alejandro";"Humorous";
"Alejandro";"Vain";
"Alejandro";"Careful";
"Alejandro";"Giving";
"Alejandro";"Funny";
"Alejandro";"Fun-loving";
"Alejandro";"Dark";
"Alejandro";"Likeable";
"Alex";"Radical";
"Alex";"Cheerful";
"Alex";"Faithful";
"Alex";"Able";
"Alex";"Opinionated";
"Alex";"Daring";
"Alex";"Mature";
"Alex";"Pleasant";
"Alex";"Lively";
"Alex";"Religious";
"Alex";"Zany";
"Alex";"Friendly";
"Alex";"Questioning";
"Alex";"Annoying";
"Alex";"Fun-loving";
"Alex";"Shy";
"Alfonso";"Hard-working";
"Alfonso";"Handsome";
"Alfonso";"Popular";
"Alfonso";"Joyful";
"Alfonso";"Light-hearted";
"Alfonso";"Studious";
"Alfonso";"Responsible";
"Alfonso";"Kind";
"Alfonso";"Thrilling";
"Alfonso";"Friendly";
"Alfonso";"Patriotic";
"Alfonso";"Unselfish";
"Alfonso";"Noisy";
"Alfonso";"Opinionated";
"Alfonso";"Pitiful";
"Alfonso";"Ambitious";
"Alfonso";"Excited";
"Alfonso";"Boastful";
"Alfonso";"Devout";
"Alonzo";"Opinionated";
"Alonzo";"Tricky";
"Alonzo";"Free";
"Alonzo";"Helpful";
"Alonzo";"Dainty";
"Alonzo";"Shy";
"Alonzo";"Ugly";
"Alonzo";"Lazy";
"Alonzo";"Rich";
"Alonzo";"Friendly";
"Alonzo";"Pretty";
"Alonzo";"Careful";
"Alonzo";"Popular";
"Alonzo";"Relaxed";
"Alonzo";"Rebellious";
"Alonzo";"Silly";
"Alonzo";"Stable";
"Alphonse";"Sad";
"Alphonse";"Responsible";
"Alphonse";"Passive";
"Alphonse";"Stubborn";
"Alphonse";"Friendly";
"Alphonse";"Devout";
"Alphonse";"Tense";
"Alphonse";"Eager";
"Alphonse";"Tantalizing";
"Alphonse";"Mature";
"Alphonse";"Expert";
"Alphonse";"Vain";
"Alphonse";"Independent";
"Alphonse";"Popular";
"Alphonse";"Manipulative";
"Amado";"Hard-working";
"Amado";"Dark";
"Amado";"Boastful";
"Amado";"Tough";
"Amado";"Proud";
"Amado";"Defiant";
"Amado";"Compassionate";
"Amado";"Neat";
"Amado";"Fancy";
"Amado";"Creative";
"Amado";"Clever";
"Amado";"Arrogant";
"Amado";"Proper";
"Amado";"Perfectionist";
"Amado";"Daring";
"Amado";"Humble";
"Amado";"Busy";
"Amado";"Aggressive";
"Amado";"Pitiful";
"Andrea";"Zany";
"Andrea";"Short";
"Andrea";"Tricky";
"Andrea";"Outgoing";
"Andrea";"Impulsive";
"Andrea";"Kind";
"Andrea";"Strong";
"Andrea";"Patriotic";
"Andrea";"Patient";
"Andrea";"Excited";
