person;place;
"Adalberto";"Charlotte";
"Adolfo";"Dallas";
"Adolph";"Baltimore";
"Adrian";"Dallas";
"Ahmad";"Dallas";
"Ahmed";"Austin";
"Al";"Detroit";
"Alan";"Chicago";
"Albert";"Detroit";
"Alberto";"Detroit";
"Alejandro";"Miami";
"Alex";"Chicago";
"Alfonso";"Chicago";
"Alonzo";"Charlotte";
"Alphonse";"Detroit";
"Amado";"Dallas";
"Andrea";"Baltimore";
"Andreas";"Dallas";
"Anibal";"Charlotte";
"Anthony";"Dallas";
"Antonia";"Baltimore";
"Antwan";"Oakland";
"Arden";"Chicago";
"Arlie";"Philadelphia";
"Arnulfo";"Austin";
"Arron";"Dallas";
"Arthur";"Austin";
"August";"Dallas";
"Augustine";"Charlotte";
"Austin";"Austin";
"Barrett";"Miami";
"Bart";"Dallas";
"Barton";"Charlotte";
"Beau";"Philadelphia";
"Ben";"Charlotte";
"Benedict";"Oakland";
"Bennett";"Philadelphia";
"Bennie";"Baltimore";
"Benton";"Oakland";
"Bernardo";"Oakland";
"Berry";"Miami";
"Bill";"Oakland";
"Billie";"Dallas";
"Blair";"Detroit";
"Blake";"Chicago";
"Bo";"Miami";
"Bobbie";"Philadelphia";
"Bobby";"Chicago";
"Boyd";"Charlotte";
"Brant";"Austin";
"Brendan";"Detroit";
"Brendon";"Detroit";
"Brent";"Oakland";
"Bret";"Baltimore";
"Britt";"Detroit";
"Broderick";"Wichita";
"Bruno";"Chicago";
"Bryant";"Miami";
"Bryon";"Detroit";
"Bud";"Chicago";
"Buddy";"Detroit";
"Burl";"Charlotte";
"Burt";"Charlotte";
"Burton";"Oakland";
"Buster";"Charlotte";
"Calvin";"Charlotte";
"Cameron";"Miami";
"Carl";"Dallas";
"Carmen";"Chicago";
"Carson";"Dallas";
"Cary";"Detroit";
"Casey";"Chicago";
"Cedric";"Miami";
"Chad";"Baltimore";
"Chadwick";"Chicago";
"Charlie";"Philadelphia";
"Chas";"Miami";
"Chase";"Miami";
"Chet";"Miami";
"Chris";"Detroit";
"Christoper";"Wichita";
"Chung";"Miami";
"Clayton";"Detroit";
"Clement";"Chicago";
"Cleo";"Oakland";
"Clinton";"Oakland";
"Clyde";"Baltimore";
"Cody";"Baltimore";
"Cole";"Wichita";
"Coleman";"Detroit";
"Colin";"Charlotte";
"Columbus";"Austin";
"Connie";"Chicago";
"Conrad";"Dallas";
"Cortez";"Charlotte";
"Courtney";"Detroit";
"Craig";"Detroit";
"Cristobal";"Philadelphia";
"Cruz";"Oakland";
"Dale";"Oakland";
"Damian";"Wichita";
"Damion";"Philadelphia";
"Darell";"Baltimore";
"Dario";"Philadelphia";
"Darrel";"Baltimore";
"Darren";"Philadelphia";
"Darrick";"Philadelphia";
"Darrin";"Wichita";
"Darron";"Miami";
"Darwin";"Chicago";
"David";"Austin";
"Dean";"Oakland";
"Deandre";"Philadelphia";
"Denver";"Dallas";
"Deon";"Detroit";
"Derick";"Detroit";
"Desmond";"Baltimore";
"Devin";"Baltimore";
"Devon";"Detroit";
"Dewitt";"Philadelphia";
"Dexter";"Detroit";
"Dick";"Detroit";
"Dominic";"Dallas";
"Don";"Philadelphia";
"Donnie";"Austin";
"Donovan";"Oakland";
"Dorian";"Oakland";
"Doug";"Philadelphia";
"Douglas";"Chicago";
"Duane";"Dallas";
"Dudley";"Chicago";
"Duncan";"Austin";
"Dylan";"Detroit";
"Earl";"Wichita";
"Eddy";"Detroit";
"Edgar";"Philadelphia";
"Edgardo";"Austin";
"Edmond";"Charlotte";
"Edmund";"Detroit";
"Edmundo";"Austin";
"Edwardo";"Wichita";
"Eldon";"Philadelphia";
"Eldridge";"Chicago";
"Elisha";"Detroit";
"Elliott";"Dallas";
"Elmer";"Detroit";
"Elvis";"Oakland";
"Emery";"Austin";
"Emile";"Oakland";
"Erick";"Detroit";
"Erin";"Chicago";
"Ernest";"Charlotte";
"Ernesto";"Chicago";
"Erwin";"Dallas";
"Ethan";"Chicago";
"Ezekiel";"Baltimore";
"Ezra";"Philadelphia";
"Fabian";"Oakland";
"Felix";"Charlotte";
"Felton";"Detroit";
"Fletcher";"Philadelphia";
"Florencio";"Miami";
"Florentino";"Philadelphia";
"Floyd";"Miami";
"Foster";"Dallas";
"Francis";"Charlotte";
"Francisco";"Philadelphia";
"Frank";"Charlotte";
"Freddy";"Oakland";
"Fredric";"Dallas";
"Fredrick";"Charlotte";
"Garland";"Charlotte";
"Garret";"Austin";
"Garrett";"Oakland";
"Garry";"Charlotte";
"Gary";"Oakland";
"Gaston";"Charlotte";
"Gayle";"Chicago";
"Gene";"Philadelphia";
"Geraldo";"Charlotte";
"German";"Baltimore";
"Gilberto";"Austin";
"Giovanni";"Detroit";
"Giuseppe";"Oakland";
"Glen";"Charlotte";
"Gordon";"Baltimore";
"Grady";"Miami";
"Granville";"Charlotte";
"Gregg";"Philadelphia";
"Gregorio";"Austin";
"Gregory";"Detroit";
"Grover";"Philadelphia";
"Hai";"Detroit";
"Hans";"Chicago";
"Harlan";"Miami";
"Harland";"Austin";
"Harley";"Philadelphia";
"Harold";"Baltimore";
"Harris";"Philadelphia";
"Harrison";"Detroit";
"Hayden";"Miami";
"Haywood";"Dallas";
"Heath";"Dallas";
"Henry";"Oakland";
"Herbert";"Charlotte";
"Heriberto";"Dallas";
"Herschel";"Chicago";
"Hilton";"Philadelphia";
"Hiram";"Philadelphia";
"Hobert";"Detroit";
"Hollis";"Miami";
"Homer";"Detroit";
"Hosea";"Charlotte";
"Houston";"Oakland";
"Huey";"Baltimore";
